index,geometry,id,gid,sgg_nm_k,sgg_nm_e,sgg_cd,sido_nm_k,sido_nm_e,sido_cd,value,stats_year,raw_d_year
121727,"POLYGON ((970500 1857500, 970500 1858000, 971000 1858000, 971000 1857500, 970500 1857500))",121728,다바70b57b,세종특별자치시,Sejong-si,36110,세종특별자치시,Sejong-si,36,6.25,2020,202010
121728,"POLYGON ((970500 1858000, 970500 1858500, 971000 1858500, 971000 1858000, 970500 1858000))",121729,다바70b58a,세종특별자치시,Sejong-si,36110,세종특별자치시,Sejong-si,36,6.365,2020,202010
121729,"POLYGON ((970500 1858500, 970500 1859000, 971000 1859000, 971000 1858500, 970500 1858500))",121730,다바70b58b,세종특별자치시,Sejong-si,36110,세종특별자치시,Sejong-si,36,6.204,2020,202010
121877,"POLYGON ((971000 1832500, 971000 1833000, 971500 1833000, 971500 1832500, 971000 1832500))",121878,다바71a32b,세종특별자치시,Sejong-si,36110,세종특별자치시,Sejong-si,36,1.924,2020,202010
121878,"POLYGON ((971000 1833000, 971000 1833500, 971500 1833500, 971500 1833000, 971000 1833000))",121879,다바71a33a,세종특별자치시,Sejong-si,36110,세종특별자치시,Sejong-si,36,2.742,2020,202010
121879,"POLYGON ((971000 1833500, 971000 1834000, 971500 1834000, 971500 1833500, 971000 1833500))",121880,다바71a33b,세종특별자치시,Sejong-si,36110,세종특별자치시,Sejong-si,36,3.74,2020,202010
121880,"POLYGON ((971000 1834000, 971000 1834500, 971500 1834500, 971500 1834000, 971000 1834000))",121881,다바71a34a,세종특별자치시,Sejong-si,36110,세종특별자치시,Sejong-si,36,4.221,2020,202010
121881,"POLYGON ((971000 1834500, 971000 1835000, 971500 1835000, 971500 1834500, 971000 1834500))",121882,다바71a34b,세종특별자치시,Sejong-si,36110,세종특별자치시,Sejong-si,36,4.566,2020,202010
121882,"POLYGON ((971000 1835000, 971000 1835500, 971500 1835500, 971500 1835000, 971000 1835000))",121883,다바71a35a,세종특별자치시,Sejong-si,36110,세종특별자치시,Sejong-si,36,5.266,2020,202010
121885,"POLYGON ((971000 1836500, 971000 1837000, 971500 1837000, 971500 1836500, 971000 1836500))",121886,다바71a36b,세종특별자치시,Sejong-si,36110,세종특별자치시,Sejong-si,36,4.296,2020,202010
121886,"POLYGON ((971000 1837000, 971000 1837500, 971500 1837500, 971500 1837000, 971000 1837000))",121887,다바71a37a,세종특별자치시,Sejong-si,36110,세종특별자치시,Sejong-si,36,4.568,2020,202010
